AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
55,Male,Cleaner,4390,Married,0,3,RM1000 - RM1500,1,Homestay,2,1,Yes,Local,0,Solo
46,Female,Clerk,3000,Married,2,1,RM2000 - RM2500,1,Hotel,0,0,Yes,Local,0,Group
28,Male,Manager site,3000,Single,0,1,below RM1000,1,AirBnB,1,0,No,Local,0,Group
21,Female,Student,150,Single,0,3,RM1000 - RM1500,1,Hotel,0,0,No,Local,0,Group
23,Female,Tennis player,6500,Married,1,0,RM1000 - RM1500,1,AirBnB,1,1,No,Local,0,Solo
60,Male,Retired,3000,Married,0,3,below RM1000,0,Hotel,1,0,No,Local,0,Solo
30,Male,Chef,9000,Single,0,1,RM1000 - RM1500,1,AirBnB,0,1,Yes,Overseas,2,Group
23,Male,student,1500,Single,0,2,below RM1000,0,Family House,1,1,No,Local,0,Solo
26,Female,Cleaner,1670,Married,1,1,RM1000 - RM1500,2,Hotel,1,3,No,Local,1,Solo
22,Male,Student,500,Single,1,2,RM1000 - RM1500,0,Hotel,1,0,Yes,Overseas,1,Group
20,Female,Student,0,Single,2,1,RM2000 - RM2500,2,Homestay,0,0,No,Local,0,Group
30,Male,Teacher,5000,Single,0,1,RM1500 - RM2000,2,AirBnB,1,3,Yes,Overseas,1,Solo
29,Male,Vlogger,2600,Married,1,1,RM1000 - RM1500,3,Homestay,1,2,No,Overseas,0,Solo
21,Male,Student,0,Single,0,4,RM1000 - RM1500,4,AirBnB,3,0,No,Overseas,0,Group
23,Female,Unemployed,0,Single,0,1,below RM1000,0,Hotel,1,0,No,Local,0,Group
23,Male,Discord admin,4500,Single,0,3,below RM1000,0,Family House,1,3,No,Overseas,1,Solo
23,Male,Student,0,Single,1,2,below RM1000,0,Homestay,0,0,Yes,Overseas,0,Group
31,Female,Goalkeeper,17000,Married,0,1,RM1500 - RM2000,0,Homestay,0,1,No,Overseas,1,Group
28,Male,Police Officer,2500,Married,0,1,below RM1000,0,Family House,0,0,No,Local,0,Group
65,Male,Retirees ,1500,Married,1,4,More than RM3000,3,Hotel,0,3,Yes,Overseas,0,Group
23,Male,STUDENT,0,Married,0,2,below RM1000,0,Hotel,1,2,No,Local,0,Solo
30,Female,HR Department ,5000,Married,1,0,RM1500 - RM2000,1,Hotel,2,1,Yes,Local,1,Group
21,Male,student,1000,Single,0,3,below RM1000,0,Family House,2,2,No,Local,0,Solo
49,Male,Teacher,5000,Single,0,0,RM1000 - RM1500,0,Hotel,0,0,No,Local,1,Solo
