AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
18,0,1,70050,1,0,0,1,0,4,2,3,0,0,0,1
7,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0
11,1,1,2500,0,0,1,5,0,3,0,0,0,0,0,1
3,0,1,1600,1,0,1,5,0,2,1,1,0,1,0,1
5,1,0,0,1,3,4,4,2,4,1,3,1,1,1,0
10,1,1,3100,1,1,2,5,0,4,0,0,0,0,1,1
30,1,1,15000,0,1,1,2,0,4,1,0,0,1,0,0
9,0,1,3096,1,1,1,1,2,3,1,1,0,0,2,1
26,0,1,3300,0,1,1,4,3,4,1,3,0,1,1,0
14,1,1,7000,0,0,1,1,0,4,0,1,0,0,1,1
19,0,1,3600,0,1,2,4,3,3,0,2,0,1,1,0
11,1,1,5200,1,1,1,1,1,4,2,3,1,1,0,1
19,0,1,3429,0,1,0,5,2,3,2,0,1,0,1,0
10,1,1,3000,1,0,1,5,0,4,1,0,0,0,0,0
6,1,1,3000,1,1,2,2,0,1,1,1,1,1,0,0
6,1,0,1200,1,0,1,5,1,3,1,2,0,0,1,1
5,1,1,0,1,0,1,5,1,4,1,3,0,0,0,0
37,0,1,0,0,0,1,2,1,4,0,0,0,0,0,0
5,1,1,0,1,1,3,5,0,2,1,0,0,0,1,0
5,0,0,0,1,0,3,5,0,0,2,4,0,1,1,0
5,0,0,1000,1,1,1,3,1,3,0,0,0,0,1,0
6,1,0,0,1,0,3,5,1,4,0,0,0,0,0,1
18,0,1,5000,1,1,2,1,1,0,2,3,0,1,1,1
21,1,1,2500,0,1,3,2,1,4,0,0,0,0,0,0
30,1,1,6700,0,0,3,5,0,4,3,0,0,0,0,0
42,0,1,5900,0,2,0,2,0,4,1,1,0,1,1,1
